Element,Row,Col,Lattice,N_unit,TotEngBulk,BulkE,AtomE,bulkmod,keldAE,keldBM,DFT atomE,ErrAtomE,xc_contribs
Li,2,1,bcc,2,-9.314761,-4.6573805,-2.975034452,0.108958,1.63,,1.68,0.05,"[[-41.69481519625906, 32.11403937528987, -18.703184772656854, 6.814517222668037, 1.2880317064091074, -5.705801984084893, 7.4387736924166745, -7.23798871417808], [39.20742130374449, -30.830107937139235, 18.567700622433357, -6.833793857767141, -1.795890255502357, 6.476224071347296, -7.855314596865426, 7.209733976756759], [-39.244691908440515, 30.8487832766371, -18.56740425247061, 6.812863509188659, 1.8667175836746424, -6.64924576017021, 8.09079490572747, -7.372940436692076], [38.60676184957605, -30.457593755711574, 18.52013965323753, -7.001173113871495, -1.6709489038926222, 6.597432555379328, -8.154935584537867, 7.3991440268334046], [-38.656714901582816, 30.464577522196073, -18.4877630800326, 6.96914556663986, 1.6724333385794878, -6.587791485068401, 8.175491231456142, -7.453887221624107], [38.217484821725115, -30.199126680474514, 18.448766699888957, -7.06994373529033, -1.586009836447822, 6.60823313508962, -8.277385159046602, 7.546488307012112], [-37.78201140960539, 29.948857128253103, -18.39926344486493, 7.083087582551165, 1.6204865193618048, -6.687445120816527, 8.33434705581847, -7.550459142618749], [37.80408571364283, -29.926271756971364, 18.368363035282734, -7.125345771705177, -1.5083179667340403, 6.603045440590542, -8.358718409709013, 7.644859446458881]]"
Na,3,1,bcc,2,-31.739881,-15.8699405,-14.73845558,0.046905,1.11,,1.13,0.02,
K,4,1,bcc,2,-64.909338,-32.454669,-31.5293675,0.027016,0.93,,0.93,0.00,"[[-826.0518725779833, 733.1700371788559, -571.3424487612049, 377.23695038069286, -188.7702894677317, 35.986524764477394, 64.94965243510296, -112.77701844842227], [307.1622344079285, -275.4141118203745, 217.3662413410318, -143.2111374070132, 65.24851124285442, 4.519377443426379, -56.49284851532968, 85.44815391305883], [20.971424754236068, -17.04232442734053, 12.57751653746061, -11.980354281586415, 17.811344192077286, -29.758431333345925, 44.56006108672739, -56.8989128559964], [43.3583821275065, -39.30857529067259, 31.73839025186294, -21.208100433059712, 8.42533131943162, 5.282758271923399, -18.169998937993228, 28.257086873099865], [-149.16252302736552, 134.99917531396522, -110.28914324329662, 80.32232182276402, -50.107529899686824, 23.46919832263268, -2.800698789304306, -11.205210908514346], [132.63089360212666, -121.18673201315255, 100.32382608352191, -73.42392332196926, 44.348684222176985, -16.647551511399115, -6.838014510257267, 24.085567646525305], [-96.79837541440963, 89.98263327654263, -76.2966266233002, 56.219928937489954, -31.36149525936321, 4.450188239685758, 21.126483266538457, -41.859926161524754], [108.41852593601698, -99.95944610135075, 83.95802681784198, -61.9538999693757, 36.12744878958131, -9.326698958729366, -15.280500388482437, 34.7727559395322]]"
Rb,5,1,bcc,2,-174.269671,-87.1348355,-86.30668167,0.016875,0.85,,0.83,-0.02,"[[-2552.0087737654576, 2349.0099158719963, -1978.7818405547794, 1501.2141505355344, -986.8560376417236, 503.7626013504623, -105.68628248329424, -175.46373215447193], [570.7931228923794, -518.846654960455, 423.0781024614007, -298.3945984943284, 163.2234113190002, -36.26266896603465, -66.5566956987218, 134.7952427178493], [629.1253294772691, -590.6243643281628, 520.6738658593213, -430.9415142384096, 334.16724020451056, -241.67808739506472, 161.45096999218367, -97.00653676666661], [3.8654053048435344, 2.0152701248034646, -12.667505389679718, 26.56020917852402, -41.714144700101315, 55.442595356145375, -64.90033173049278, 67.57971173711667], [-714.7375432380331, 662.2193302834485, -565.6005400789363, 439.1378189392003, -299.825971296003, 164.7187201179736, -48.523216674361265, -38.69370283434273], [362.4321603315311, -338.5830309701005, 293.78843765041256, -233.13352784568724, 163.065372261015, -90.52439153354317, 22.240222584083767, 35.773196449166335], [143.41251816673002, -132.87382523107908, 114.49664231349698, -92.80725814978086, 72.62439172804807, -57.81688063022557, 50.53157014885619, -50.649224042670994], [-25.895221002343533, 26.71862283438759, -28.167477197275275, 30.145261998128262, -32.442042331181256, 34.46599527824674, -35.41806343816643, 34.61825340855921]]"
Cs,6,1,bcc,2,,,,,,,,0.00,
Be,2,2,hcp,2,-15.115165,-7.5575825,-3.904029206,0.827947,3.32,,3.65,0.33,"[[-62.89125147264336, 48.88982021245144, -28.644557417609604, 10.604497917657596, 1.1852013567947353, -7.299446105689384, 9.997102728702771, -10.477750141661588], [54.88684243324164, -44.544518173011596, 28.05488055760277, -10.968987615906869, -2.2082042567413964, 9.367210877174045, -11.22382936743162, 10.10260892865847], [-54.89792719410434, 44.510971764181946, -28.01377078952082, 10.907994434914627, 2.387939038486934, -9.821062419873286, 11.877873875922262, -10.578877827073299], [53.007388828355445, -43.29878969728448, 27.79251006294865, -11.484877929272074, -1.6408825419534878, 9.463679412140067, -11.981866087668067, 10.754756935931368], [-52.95347209401361, 43.17344827311271, -27.63259898703469, 11.354089264442464, 1.6689305400138608, -9.413368830093304, 11.975272794152986, -10.850621365363509], [51.695324492443504, -42.388948033505244, 27.468022797563137, -11.626418408279676, -1.352774990495604, 9.359446991020377, -12.205164778918785, 11.155250064576464], [-50.140190990716235, 41.453586998372586, -27.26110551034845, 11.739520465074733, 1.3265405401579926, -9.494246892451002, 12.30947546888568, -11.088834644613229], [50.37556708009443, -41.49367406227953, 27.18148299922794, -11.810132498287004, -1.0252176912883186, 9.18463763533262, -12.28595506987017, 11.368516407078275]]"
Mg,3,2,hcp,2,-36.000221,-18.0001105,-16.46430173,0.286157,1.51,,1.54,0.03,"[[-397.79140961961707, 344.24037792934524, -253.73416124533384, 150.83430211883132, -58.533729453232866, -8.531700852092968, 46.266791918322156, -58.71159756425277], [184.1426988654028, -161.95955954250394, 122.55224689431265, -73.81765982750534, 24.86920420231985, 15.620949643912752, -41.6693157601552, 51.57477615859818], [-49.71965744776361, 44.635968537446786, -34.68985988767179, 19.946891954671685, -1.4531683124017718, -17.877137218384576, 33.77991325396056, -42.24813820522712], [65.44389950873335, -57.76586440244773, 44.48239571884261, -28.01940525047769, 10.450781979639942, 6.230158158839913, -19.91297164542533, 28.451433767559593], [-94.61766487160679, 83.87789835200334, -65.66879257587425, 44.25567708729341, -23.48921666530839, 6.057946996417115, 6.806334695795158, -15.006707308328373], [92.43328274067761, -82.69141165584699, 65.73959266219254, -44.92987318350873, 23.47677461455436, -4.116480509417158, -11.24550444133024, 21.598159114558882], [-91.73487926964435, 83.19768417378424, -67.49507783034471, 46.40207065357748, -22.26976113089779, -1.7320843856432475, 22.029876669800615, -35.537719958497405], [89.09416049860255, -80.22449707540306, 64.43256801309451, -44.235436361957284, 22.235673110996004, -1.1217820891314432, -16.579541010457262, 28.781679939752564]]"
Ca,4,2,fcc,4,-141.52855,-35.3821375,-33.4256645,0.121952,1.84,,1.96,0.12,"[[-891.8511235821921, 793.0765941260961, -619.908226613526, 411.29754339958913, -208.38199055151972, 43.4975468923808, 66.32980618054307, -119.8455560146117], [321.32146004241804, -288.6948397393013, 229.21963924756528, -152.74607319018003, 71.41361421547049, 2.249064245730665, -57.873899203983115, 89.50879298952054], [34.10498999770175, -29.526963320615096, 23.09744699626617, -19.249479049109937, 21.757760145017073, -31.415098630678358, 45.23379949265245, -57.64646590920597], [43.22868998728495, -38.26134806341042, 29.64422371394835, -18.791850048099718, 6.666346553460585, 5.951921297190665, -17.99279786387831, 27.805511528215902], [-162.18129334786636, 146.6151608955863, -119.42994899430448, 86.41797665517743, -53.35354660475002, 24.733144712619605, -3.0048404293160047, -11.43115387398666], [142.5710566942655, -130.16085319866556, 107.75454478417032, -78.94377633089414, 47.67189470996618, -17.801711429601596, -7.40431671950148, 25.76360957771317], [-97.72281808655327, 90.8367813429586, -77.4098892704252, 57.86468843854573, -33.181085819728196, 5.599229679613472, 21.315731548554368, -43.44347983374951], [107.848361922084, -99.4233055504634, 83.78462954890324, -62.54751358634303, 37.57388961471088, -11.221036161512416, -13.659816806203366, 34.06578277181552]]"
Sr,5,2,fcc,4,-365.335289,-91.33382225,-89.63026856,0.076455,1.72,,1.70,-0.02,"[[-2661.4743802653793, 2451.7710051542203, -2068.3476525214614, 1572.9970645074523, -1039.2515455080961, 537.5747309839408, -122.98198522695156, -172.12897230028648], [585.0821641691864, -532.2305468062, 434.97842360247614, -307.9458003335676, 169.5265388210646, -38.9217325918994, -67.25484528986681, 137.87106938549232], [667.2530578451224, -627.4759497762088, 554.3353324170193, -459.4797696155356, 356.601643395717, -258.0409550631616, 172.28451582425168, -102.94014645509742], [3.8611746675310314, 3.2031062943542565, -15.478375988838252, 30.558845935321642, -45.944670089635565, 59.22041031095296, -68.10127535675474, 70.3727441291303], [-751.3353176218698, 696.4720151418846, -595.4407418895366, 462.9568825244096, -316.9456929285511, 175.44194362351027, -53.626101906836084, -38.20435076050853], [374.48429809233403, -349.95764044447606, 304.01313540396677, -241.68995438981983, 169.43019215708546, -94.46435060140584, 23.96347178535416, 35.77587631524875], [163.97497433750277, -152.33588417882947, 131.52144763632805, -106.34831430770282, 82.41707836966725, -64.37623676991461, 54.643043309672066, -52.838612087623915], [-33.203543119984715, 33.78922798505346, -34.550917033391215, 35.405316510363264, -36.3479354411279, 37.15893379631916, -37.33906426363046, 36.12041869741597]]"
Ba,6,2,bcc,2,-333.57075,-166.785375,-164.8520207,0.05908,1.9,,1.93,0.03,"[[-5056.391701409762, 4716.604860361357, -4087.098866511894, 3256.212359271266, -2333.1243798362766, 1428.1598627176254, -634.737131631854, 16.800372532259644], [873.1308178827667, -794.4105985669157, 649.5797391850383, -460.6851063201848, 255.3648108753323, -62.37632164653223, -93.59885886364191, 196.2294845905808], [1560.4994785907884, -1486.9202066283306, 1348.214113105505, -1160.349261750318, 943.3024675172255, -717.0863108334179, 498.8119729450964, -300.92521275412855], [-24.064772206678754, 37.4954330983619, -61.23941331310289, 90.51139812932433, -119.62929929452548, 142.56630411308015, -153.88407640171135, 149.44512861546718], [-1554.876741106631, 1456.0624553094867, -1271.8045778993383, 1025.6325876200171, -747.4443708748595, 468.8465050899231, -218.15926555981878, 16.535313824128025], [614.378489865795, -576.4025972409681, 504.97250436682043, -407.7845090939063, 294.8893531015592, -177.6762815499951, 67.1719875123581, 27.373876927834317], [641.5715071906698, -608.5394965598935, 546.8926129225729, -465.23030706198097, 374.19136711809824, -284.0230789465695, 202.86983882733784, -135.64892864592184], [-195.98784758425245, 192.77568799101664, -185.86781644803887, 175.06945075123713, -160.24992107083108, 141.037608146602, -117.13432889254364, 88.57487024506463]]"
