Element,Row,Col,Lattice,N_unit,TotEngBulk,BulkE,AtomE,bulkmod,keldAE,DFT atomE,ErrAtomE,xAtom,xBulk
Li,2,1,bcc,2,-9.314761,-4.6573805,-2.975034452,0.108958,1.63,1.68,0.05,"[[-41.69481519625906, 32.11403937528987, -18.703184772656854, 6.814517222668037, 1.2880317064091074, -5.705801984084893, 7.4387736924166745, -7.23798871417808], [39.20742130374449, -30.830107937139235, 18.567700622433357, -6.833793857767141, -1.795890255502357, 6.476224071347296, -7.855314596865426, 7.209733976756759], [-39.244691908440515, 30.8487832766371, -18.56740425247061, 6.812863509188659, 1.8667175836746424, -6.64924576017021, 8.09079490572747, -7.372940436692076], [38.60676184957605, -30.457593755711574, 18.52013965323753, -7.001173113871495, -1.6709489038926222, 6.597432555379328, -8.154935584537867, 7.3991440268334046], [-38.656714901582816, 30.464577522196073, -18.4877630800326, 6.96914556663986, 1.6724333385794878, -6.587791485068401, 8.175491231456142, -7.453887221624107], [38.217484821725115, -30.199126680474514, 18.448766699888957, -7.06994373529033, -1.586009836447822, 6.60823313508962, -8.277385159046602, 7.546488307012112], [-37.78201140960539, 29.948857128253103, -18.39926344486493, 7.083087582551165, 1.6204865193618048, -6.687445120816527, 8.33434705581847, -7.550459142618749], [37.80408571364283, -29.926271756971364, 18.368363035282734, -7.125345771705177, -1.5083179667340403, 6.603045440590542, -8.358718409709013, 7.644859446458881]]","[[-86.09936184396511, 68.38574228977006, -42.31806513250446, 18.95392273232099, -3.6750660141375704, -4.380688438986269, 7.8229739263611435, -7.781054966183433], [71.47178949832633, -58.25856926232706, 36.46631799117918, -13.399044703028238, -4.300472435930857, 13.63814193312706, -15.838663300970325, 14.145034312110312], [-69.6112299440735, 56.42726318147359, -34.787876036067715, 11.884996205814232, 5.933776901063524, -15.694031951200586, 18.19805408422748, -16.360918802363486], [69.07625048680785, -56.7944971329715, 36.38685692528077, -14.256917329777025, -3.678578864074538, 14.140453879543003, -17.13983384021084, 15.06709465599748], [-71.09391448710956, 58.71782537968892, -38.26376512673248, 16.244137546822117, 1.5173699214581404, -11.977296335990985, 15.245345994506948, -13.499264849301468], [68.76576990428154, -57.0539439868771, 37.46158309837534, -15.928591423238075, -1.9542388946575926, 12.878204447235518, -16.463981465886704, 14.621001551322124], [-66.13037697338821, 55.157816879454145, -36.37712534308854, 15.129513838729366, 2.9571323945296655, -14.125563117657663, 17.74484493577846, -15.862315519310982], [66.75781220952334, -55.61543761837348, 36.82514726076889, -15.870227511092963, -1.9423980708308193, 13.24103189911611, -17.301575598176157, 15.670035348960312]]"
Na,3,1,bcc,2,-31.739881,-15.8699405,-14.73845558,0.046905,1.11,1.13,0.02,"[[-347.7219444454092, 299.67138759769205, -219.47308977755722, 129.05728938200252, -48.11880671310695, -10.569609959998445, 42.98815119404037, -52.49458131700936], [166.58449814348728, -146.10344173784432, 109.31593968586765, -64.17069147525285, 19.806830023330235, 15.99794610418337, -38.352931914823955, 46.217466180909014], [-50.477610112043806, 46.03169254008958, -36.33293439533975, 21.011640855118742, -1.885222747580542, -17.300020514248672, 32.27036912213367, -39.54990425339065], [62.53162818648195, -55.74308134944471, 43.54344811000101, -27.688840909577777, 10.111716988266721, 6.643985420821764, -19.81746407886044, 27.21465130313942], [-87.24392166420023, 77.3778869390452, -60.45492439251046, 40.53426003452972, -21.181721438425257, 4.63521162045862, 7.811564381894527, -15.617214668721203], [88.56423070832659, -79.49821836150625, 63.24947028821907, -42.78450599603548, 21.480317184967134, -2.3165598657199666, -12.764842565844333, 22.676866719620705], [-89.26952050637732, 81.09856086521961, -65.48265960175331, 44.06540220518718, -19.720427947343694, -3.755038941935993, 22.623180362937205, -34.34495787121574], [81.3805445584398, -73.65785872507269, 59.45893006624317, -40.75469235377824, 19.984567865551753, 0.07504922826780103, -16.626633810327405, 27.46942745213329]]","[[-697.4267548438436, 602.7689781440895, -443.02716256655754, 262.66419459920985, -102.03698889924829, -14.52344789872734, 80.10626069470527, -100.62972475685513], [327.9731244807133, -288.7870536749132, 217.5998524832546, -128.35387087017068, 39.20974677881077, 32.6996771800367, -76.89500568186372, 92.04254692023812], [-98.04101974601315, 89.14359126058537, -70.06713819915092, 40.32802680864074, -2.7143464655878233, -35.94350646163866, 66.62281023442699, -81.6259045391563], [122.62873599594707, -110.11737239184265, 86.85769544287325, -55.9307123207966, 21.351441453162238, 12.019560882301676, -38.76332424065981, 54.022411319057255], [-174.4297116835669, 155.47430082153846, -122.28046863298334, 82.39375200297968, -43.37295336371892, 10.50333986474675, 13.873781110691311, -29.466934541537512], [174.99999191510153, -157.64534735331802, 126.1429327478861, -85.98835056299242, 43.565237052691714, -4.795257840156751, -25.83494831289181, 45.76735364302101], [-175.53030027112106, 159.90595666419745, -129.59376846567932, 87.4282987510702, -38.92781760583932, -8.2690869107563, 46.40230755491268, -69.9381475973646], [162.28612942470443, -147.08872615589428, 118.90502603183006, -81.66529728949695, 40.34797113763625, -0.39283455923919064, -32.87320474489604, 55.04807576387827]]"
K,4,1,bcc,2,-64.909338,-32.454669,-31.5293675,0.027016,0.93,0.93,0,"[[-826.0518725779833, 733.1700371788559, -571.3424487612049, 377.23695038069286, -188.7702894677317, 35.986524764477394, 64.94965243510296, -112.77701844842227], [307.1622344079285, -275.4141118203745, 217.3662413410318, -143.2111374070132, 65.24851124285442, 4.519377443426379, -56.49284851532968, 85.44815391305883], [20.971424754236068, -17.04232442734053, 12.57751653746061, -11.980354281586415, 17.811344192077286, -29.758431333345925, 44.56006108672739, -56.8989128559964], [43.3583821275065, -39.30857529067259, 31.73839025186294, -21.208100433059712, 8.42533131943162, 5.282758271923399, -18.169998937993228, 28.257086873099865], [-149.16252302736552, 134.99917531396522, -110.28914324329662, 80.32232182276402, -50.107529899686824, 23.46919832263268, -2.800698789304306, -11.205210908514346], [132.63089360212666, -121.18673201315255, 100.32382608352191, -73.42392332196926, 44.348684222176985, -16.647551511399115, -6.838014510257267, 24.085567646525305], [-96.79837541440963, 89.98263327654263, -76.2966266233002, 56.219928937489954, -31.36149525936321, 4.450188239685758, 21.126483266538457, -41.859926161524754], [108.41852593601698, -99.95944610135075, 83.95802681784198, -61.9538999693757, 36.12744878958131, -9.326698958729366, -15.280500388482437, 34.7727559395322]]","[[-1653.4424881758596, 1468.9649400766718, -1145.740821887018, 757.7272515996922, -381.87862940046307, 77.26503591952996, 125.021289573162, -222.05850374845932], [609.7006874216952, -547.9466881353355, 434.07493644909687, -286.60294598447376, 130.1583886753358, 9.861359505981454, -113.56569522744803, 170.90116858675765], [43.365859304809874, -35.80105195609917, 26.78494726558324, -24.942223940565327, 36.311017230169455, -60.6163140359904, 90.80245446593153, -115.78311860524582], [85.3621543281231, -77.81738083756932, 63.31391959758321, -42.84170630422045, 17.8153842164852, 9.51552982056478, -35.677417408780684, 56.257597600517784], [-298.8521131991897, 271.03583048209316, -221.71535036609885, 161.22326131877662, -100.40858014500145, 47.53121747261412, -6.826775439555604, -21.034207897311717], [264.1160151428255, -241.86882013630975, 200.8881476790807, -147.37931648684935, 88.90666770240227, -32.96335952389518, -14.246908369274479, 48.64353079147327], [-191.5769618672407, 178.51311154710675, -151.95293621277824, 112.32610117139802, -62.43685462033159, 7.941995248055036, 43.64863588531625, -84.85717387188583], [217.2572714349467, -200.2995937246253, 168.1420919130287, -124.06173229223805, 72.54782375839477, -19.040035581592292, -30.41289394781211, 69.82416207398705]]"
Rb,5,1,bcc,2,-174.269671,-87.1348355,-86.30668167,0.016875,0.85,0.83,-0.02,"[[-2552.0087737654576, 2349.0099158719963, -1978.7818405547794, 1501.2141505355344, -986.8560376417236, 503.7626013504623, -105.68628248329424, -175.46373215447193], [570.7931228923794, -518.846654960455, 423.0781024614007, -298.3945984943284, 163.2234113190002, -36.26266896603465, -66.5566956987218, 134.7952427178493], [629.1253294772691, -590.6243643281628, 520.6738658593213, -430.9415142384096, 334.16724020451056, -241.67808739506472, 161.45096999218367, -97.00653676666661], [3.8654053048435344, 2.0152701248034646, -12.667505389679718, 26.56020917852402, -41.714144700101315, 55.442595356145375, -64.90033173049278, 67.57971173711667], [-714.7375432380331, 662.2193302834485, -565.6005400789363, 439.1378189392003, -299.825971296003, 164.7187201179736, -48.523216674361265, -38.69370283434273], [362.4321603315311, -338.5830309701005, 293.78843765041256, -233.13352784568724, 163.065372261015, -90.52439153354317, 22.240222584083767, 35.773196449166335], [143.41251816673002, -132.87382523107908, 114.49664231349698, -92.80725814978086, 72.62439172804807, -57.81688063022557, 50.53157014885619, -50.649224042670994], [-25.895221002343533, 26.71862283438759, -28.167477197275275, 30.145261998128262, -32.442042331181256, 34.46599527824674, -35.41806343816643, 34.61825340855921]]","[[-5105.141188983418, 4700.350439817317, -3960.2937874790464, 3005.37216934935, -1977.7739860948236, 1012.5887998489898, -215.9901627677591, -347.9443321295248], [1137.380596237016, -1035.2334096670538, 845.8234233695275, -597.1834531690047, 326.19358749527964, -71.59427511505874, -133.93477688099847, 269.7761460390011], [1258.9050171251065, -1182.2118772865915, 1042.417425214051, -862.6213412614934, 668.9968483558141, -484.4891541495681, 324.60141260097316, -195.95984618670445], [6.231297021065075, 4.917435762987225, -25.56082876720393, 52.71788682898841, -82.39451067159189, 109.69514649620669, -129.0345217060567, 134.94310689958638], [-1429.4455870364368, 1324.9393374636056, -1131.8306412726088, 878.4438053545337, -599.600404567339, 329.96484008076186, -98.36935974596508, -75.82550930636262], [724.1872462283236, -676.9157584761688, 587.7361288908978, -466.5004423212713, 326.0736660909288, -180.62445458493585, 43.961185621941695, 71.9388058180948], [288.1409175711533, -266.57961947324293, 229.22276044622504, -185.5074465730686, 145.3888920712834, -116.4940311050841, 102.45669011278096, -102.51585169856025], [-50.64156391267625, 52.51570730915955, -55.90087354437128, 60.201615442406364, -64.70043101878491, 68.52518827607855, -70.54112384350628, 69.37808292731734]]"
Be,2,2,hcp,2,-15.115165,-7.5575825,-3.904029206,0.827947,3.32,3.65,0.33,"[[-62.89125147264336, 48.88982021245144, -28.644557417609604, 10.604497917657596, 1.1852013567947353, -7.299446105689384, 9.997102728702771, -10.477750141661588], [54.88684243324164, -44.544518173011596, 28.05488055760277, -10.968987615906869, -2.2082042567413964, 9.367210877174045, -11.22382936743162, 10.10260892865847], [-54.89792719410434, 44.510971764181946, -28.01377078952082, 10.907994434914627, 2.387939038486934, -9.821062419873286, 11.877873875922262, -10.578877827073299], [53.007388828355445, -43.29878969728448, 27.79251006294865, -11.484877929272074, -1.6408825419534878, 9.463679412140067, -11.981866087668067, 10.754756935931368], [-52.95347209401361, 43.17344827311271, -27.63259898703469, 11.354089264442464, 1.6689305400138608, -9.413368830093304, 11.975272794152986, -10.850621365363509], [51.695324492443504, -42.388948033505244, 27.468022797563137, -11.626418408279676, -1.352774990495604, 9.359446991020377, -12.205164778918785, 11.155250064576464], [-50.140190990716235, 41.453586998372586, -27.26110551034845, 11.739520465074733, 1.3265405401579926, -9.494246892451002, 12.30947546888568, -11.088834644613229], [50.37556708009443, -41.49367406227953, 27.18148299922794, -11.810132498287004, -1.0252176912883186, 9.18463763533262, -12.28595506987017, 11.368516407078275]]","[[-136.4485075446016, 112.81188486727802, -76.28647059865153, 41.337912627535474, -17.68242414533401, 6.604082205076594, -3.6847858922295984, 4.255264756567783], [93.9708796227502, -78.37740380724125, 51.934015949701035, -22.353949331666342, -2.592188261795485, 17.9331232408056, -22.95723397845856, 20.55542814558575], [-83.45716467790666, 68.6715154021717, -43.16477389087359, 13.85961452890291, 11.715653956720274, -28.08006854097674, 33.6732801858538, -30.8724310702692], [89.0733237457957, -74.96614759040327, 50.85913146971453, -23.3340719720606, -0.9741944733671346, 17.465917876440727, -24.58442107396253, 23.629548904259707], [-93.96950038753636, 80.47197551400637, -57.254949496435, 30.466749686929546, -6.4655779442530275, -10.160516992563515, 17.66903491695558, -17.106465917668032], [88.0694361608432, -75.06574724039285, 52.57653386582933, -26.395311174505295, 2.6308249165563495, 14.171307416726052, -22.12784394913743, 22.045369100534316], [-77.28613994254592, 66.09686281904033, -46.17069014783668, 21.93601472692177, 1.242253437602045, -18.570332636287304, 27.318106816454133, -27.58967658596815], [81.63039272685378, -69.90057899056009, 49.34875057407828, -24.891601691758623, 1.97211073451723, 14.995281384665816, -23.734652136149506, 24.439698553039932]]"
Mg,3,2,hcp,2,-36.000221,-18.0001105,-16.46430173,0.286157,1.51,1.54,0.03,"[[-397.79140961961707, 344.24037792934524, -253.73416124533384, 150.83430211883132, -58.533729453232866, -8.531700852092968, 46.266791918322156, -58.71159756425277], [184.1426988654028, -161.95955954250394, 122.55224689431265, -73.81765982750534, 24.86920420231985, 15.620949643912752, -41.6693157601552, 51.57477615859818], [-49.71965744776361, 44.635968537446786, -34.68985988767179, 19.946891954671685, -1.4531683124017718, -17.877137218384576, 33.77991325396056, -42.24813820522712], [65.44389950873335, -57.76586440244773, 44.48239571884261, -28.01940525047769, 10.450781979639942, 6.230158158839913, -19.91297164542533, 28.451433767559593], [-94.61766487160679, 83.87789835200334, -65.66879257587425, 44.25567708729341, -23.48921666530839, 6.057946996417115, 6.806334695795158, -15.006707308328373], [92.43328274067761, -82.69141165584699, 65.73959266219254, -44.92987318350873, 23.47677461455436, -4.116480509417158, -11.24550444133024, 21.598159114558882], [-91.73487926964435, 83.19768417378424, -67.49507783034471, 46.40207065357748, -22.26976113089779, -1.7320843856432475, 22.029876669800615, -35.537719958497405], [89.09416049860255, -80.22449707540306, 64.43256801309451, -44.235436361957284, 22.235673110996004, -1.1217820891314432, -16.579541010457262, 28.781679939752564]]","[[-801.5075632388415, 697.9032786369606, -521.3150558631867, 319.1784243550768, -136.55808703866876, 2.0775508780002383, 75.69747818950248, -103.51027587689521], [360.48655947042073, -318.52795039259047, 242.276151467035, -146.1657108521929, 48.77719831901527, 31.803298313143273, -83.243930627591, 102.28814341973316], [-87.518012271325, 79.68565873640523, -62.30086613663161, 34.16895057533486, 2.649014453684117, -41.793613118437065, 74.22343685369265, -91.62914530511114], [122.90564613733932, -110.62544314090394, 87.7933372663557, -57.3721240270512, 23.07907756973941, 10.714527985845052, -39.00569586817289, 56.80378211044467], [-189.13489153406317, 169.8387683845732, -135.74432796160954, 94.18754316679019, -52.81823536901982, 17.392917923678624, 9.183552875596092, -26.409649615967624], [180.58076268090315, -163.2415921537821, 131.7274243230927, -91.49521565488408, 48.88819758468799, -9.708180798260628, -21.77749957672893, 43.18971541068936], [-175.63899416961272, 160.5158788221753, -131.08150966534095, 89.76728881475401, -41.42216668328865, -6.878994313120302, 47.360812967931565, -73.79571418019316], [174.65448812658917, -158.53339405015504, 128.5166768155475, -88.69954543245342, 44.43565628324666, -1.5935078701535303, -34.24959815837724, 58.65195267908541]]"
Ca,4,2,fcc,4,-141.52855,-35.3821375,-33.4256645,0.121952,1.84,1.96,0.12,"[[-891.8511235821921, 793.0765941260961, -619.908226613526, 411.29754339958913, -208.38199055151972, 43.4975468923808, 66.32980618054307, -119.8455560146117], [321.32146004241804, -288.6948397393013, 229.21963924756528, -152.74607319018003, 71.41361421547049, 2.249064245730665, -57.873899203983115, 89.50879298952054], [34.10498999770175, -29.526963320615096, 23.09744699626617, -19.249479049109937, 21.757760145017073, -31.415098630678358, 45.23379949265245, -57.64646590920597], [43.22868998728495, -38.26134806341042, 29.64422371394835, -18.791850048099718, 6.666346553460585, 5.951921297190665, -17.99279786387831, 27.805511528215902], [-162.18129334786636, 146.6151608955863, -119.42994899430448, 86.41797665517743, -53.35354660475002, 24.733144712619605, -3.0048404293160047, -11.43115387398666], [142.5710566942655, -130.16085319866556, 107.75454478417032, -78.94377633089414, 47.67189470996618, -17.801711429601596, -7.40431671950148, 25.76360957771317], [-97.72281808655327, 90.8367813429586, -77.4098892704252, 57.86468843854573, -33.181085819728196, 5.599229679613472, 21.315731548554368, -43.44347983374951], [107.848361922084, -99.4233055504634, 83.78462954890324, -62.54751358634303, 37.57388961471088, -11.221036161512416, -13.659816806203366, 34.06578277181552]]","[[-3580.823844172854, 3192.004784198962, -2506.2910344098723, 1675.9686173542127, -864.9379806109423, 203.25572728798988, 239.33227702100476, -456.40322580347583], [1272.1307208557569, -1145.6054646127059, 912.3749831753144, -609.5242107173344, 285.5787913958343, 8.719976229101576, -231.32129983248024, 358.03914703102646], [151.66605935401913, -131.01528950717648, 102.88439279410431, -86.46787986565869, 96.5740462784106, -135.42730714138588, 190.67038932867808, -240.11433657088037], [162.13708355409744, -146.41001881701004, 116.81923580673265, -76.37073759031455, 28.543652379493324, 22.594553842817277, -71.61893597322432, 111.33312718669731], [-650.7487244581334, 590.8080558911356, -483.9993780784921, 352.12317956809557, -218.85597591062742, 103.18318460960927, -15.5416655160343, -42.35188899152217], [571.0397418390944, -523.5649206228018, 435.75201845323545, -320.4946374940646, 193.96100951919516, -72.550591061271, -29.994799904681713, 104.63612151887992], [-383.3321454506731, 358.2108918626195, -306.9713013603691, 229.76346546853483, -130.77331645133836, 19.912385942703168, 88.00561527238915, -176.5262070093877], [428.0699385856319, -395.7989039264189, 334.21818781859884, -249.1085249599514, 148.77551098423282, -43.54806880959086, -55.04313872431203, 135.5211678957512]]"
Sr,5,2,fcc,4,-365.335289,-91.33382225,-89.63026856,0.076455,1.72,1.7,-0.02,"[[-2661.4743802653793, 2451.7710051542203, -2068.3476525214614, 1572.9970645074523, -1039.2515455080961, 537.5747309839408, -122.98198522695156, -172.12897230028648], [585.0821641691864, -532.2305468062, 434.97842360247614, -307.9458003335676, 169.5265388210646, -38.9217325918994, -67.25484528986681, 137.87106938549232], [667.2530578451224, -627.4759497762088, 554.3353324170193, -459.4797696155356, 356.601643395717, -258.0409550631616, 172.28451582425168, -102.94014645509742], [3.8611746675310314, 3.2031062943542565, -15.478375988838252, 30.558845935321642, -45.944670089635565, 59.22041031095296, -68.10127535675474, 70.3727441291303], [-751.3353176218698, 696.4720151418846, -595.4407418895366, 462.9568825244096, -316.9456929285511, 175.44194362351027, -53.626101906836084, -38.20435076050853], [374.48429809233403, -349.95764044447606, 304.01313540396677, -241.68995438981983, 169.43019215708546, -94.46435060140584, 23.96347178535416, 35.77587631524875], [163.97497433750277, -152.33588417882947, 131.52144763632805, -106.34831430770282, 82.41707836966725, -64.37623676991461, 54.643043309672066, -52.838612087623915], [-33.203543119984715, 33.78922798505346, -34.550917033391215, 35.405316510363264, -36.3479354411279, 37.15893379631916, -37.33906426363046, 36.12041869741597]]","[[-10658.021454295242, 9825.466472399863, -8298.738057192231, 6321.430648398689, -4186.988376836823, 2178.071018769857, -516.4674476690507, -666.9258015641371], [2329.3305278614516, -2121.3885537413516, 1736.2451199399766, -1230.623459591372, 677.937307758737, -155.47237491148917, -269.6704426333381, 552.5672194221006], [2676.0319284204797, -2516.0327686165056, 2223.42920986673, -1845.2688825367786, 1435.697127443591, -1043.043028301072, 700.5393133827056, -422.7220459893106], [8.274034775769906, 16.53397544074687, -61.81985934986915, 119.90010374463964, -181.1341381913062, 235.11561521936346, -271.50538739433796, 280.91868544702083], [-3002.390500288466, 2785.520442655801, -2383.9946480590825, 1855.6222609570195, -1272.324363619664, 706.7140594226858, -219.89691588457026, -147.04700805778702], [1498.4779310340018, -1401.4306424294155, 1217.966399269486, -967.9425725298115, 677.8173994867557, -377.1792288581928, 94.98423683682267, 143.88252936362915], [660.1265851995686, -612.2558738240295, 528.1854685033813, -427.6745444864591, 332.6612150410874, -261.0241078270301, 221.9657752019557, -214.22772289896602], [-130.23992019744946, 132.41265025006214, -136.4289227330628, 141.58156616699125, -146.71756209987507, 150.2026533027347, -149.97722846486977, 143.75019479928233]]"
Ba,6,2,bcc,2,-333.57075,-166.785375,-164.8520207,0.05908,1.9,1.93,0.03,"[[-5056.391701409762, 4716.604860361357, -4087.098866511894, 3256.212359271266, -2333.1243798362766, 1428.1598627176254, -634.737131631854, 16.800372532259644], [873.1308178827667, -794.4105985669157, 649.5797391850383, -460.6851063201848, 255.3648108753323, -62.37632164653223, -93.59885886364191, 196.2294845905808], [1560.4994785907884, -1486.9202066283306, 1348.214113105505, -1160.349261750318, 943.3024675172255, -717.0863108334179, 498.8119729450964, -300.92521275412855], [-24.064772206678754, 37.4954330983619, -61.23941331310289, 90.51139812932433, -119.62929929452548, 142.56630411308015, -153.88407640171135, 149.44512861546718], [-1554.876741106631, 1456.0624553094867, -1271.8045778993383, 1025.6325876200171, -747.4443708748595, 468.8465050899231, -218.15926555981878, 16.535313824128025], [614.378489865795, -576.4025972409681, 504.97250436682043, -407.7845090939063, 294.8893531015592, -177.6762815499951, 67.1719875123581, 27.373876927834317], [641.5715071906698, -608.5394965598935, 546.8926129225729, -465.23030706198097, 374.19136711809824, -284.0230789465695, 202.86983882733784, -135.64892864592184], [-195.98784758425245, 192.77568799101664, -185.86781644803887, 175.06945075123713, -160.24992107083108, 141.037608146602, -117.13432889254364, 88.57487024506463]]","[[-10119.508768976317, 9443.274890145758, -8187.654711233039, 6526.962784395122, -4679.219080682267, 2866.3168750028, -1277.1138224284005, 40.64613478067986], [1739.310245383911, -1583.6048986920505, 1295.9840413550792, -919.8241888849225, 510.38535716743354, -124.9731792047478, -187.15806895900278, 393.1058383534819], [3124.6868235493457, -2977.0496018983176, 2699.5962425468933, -2324.193224390514, 1890.353945663188, -1438.0632706163233, 1001.6706402223808, -606.0943337167373], [-47.96708726547695, 73.96827060983378, -120.92356966441002, 179.65025395568045, -238.4043386871581, 284.75386735839675, -307.44159817571017, 298.0712022792486], [-3109.08299182214, 2912.253027325154, -2544.355276762537, 2052.353230856197, -1496.302429443891, 939.4319818491331, -438.415496886817, 35.60182902436463], [1228.7952901888239, -1153.3450680060578, 1010.6664470354572, -816.0975996274938, 590.028096355365, -355.17047762625407, 133.59561917990322, 55.978164650237886], [1284.1864707664754, -1217.7079217734045, 1094.348781165574, -931.2023339253119, 749.2180838717213, -568.9781589665981, 406.9343142070902, -272.944837312607], [-391.15083894673444, 384.75284740895586, -371.5169070445954, 350.66751282190125, -321.2869753606501, 282.5749010208219, -234.1511448537949, 176.37764277500173]]"
Sc,4,3,fcc,4,-79.987736,-19.996934,-36.10155336,0.329545,2.46,-16.1,0,"[[-967.1162687646587, 862.2104015524264, -677.9080392489711, 454.6980926613012, -235.27720424299127, 54.058521228959535, 69.18809602453848, -130.76544990165507], [336.9886440749294, -303.5777303907107, 242.23830788011696, -162.77977196483369, 77.8577568396488, -0.6795184418551798, -58.08101869033237, 92.44388680018551], [52.04952185788443, -45.910102498908486, 36.484755536217335, -28.64877816957346, 26.89622437525759, -32.88684213658075, 44.46686904441799, -56.447511187890655], [43.75951682580671, -38.8909445739331, 30.22413229398262, -18.944243474998984, 6.124875320118008, 7.045938790770606, -19.20757092628719, 28.732221898897023], [-181.12759731663436, 163.71367071453733, -133.1406293161183, 95.77610106394832, -58.16567875071735, 25.606346984117636, -1.136657285974934, -14.563956204439364], [147.64635493677406, -135.31938903646733, 112.81454190709405, -83.39368788213108, 50.87478945977227, -19.26198827436906, -7.897873663415567, 28.01693024656288], [-90.23089372765696, 84.50709495048864, -72.96242624925844, 55.412333491488425, -32.43435028939393, 6.06461001883099, 20.382093710713207, -42.967323162452544], [106.57828734265468, -98.30351387863323, 82.9811688669995, -62.221361437785504, 37.882073198284616, -12.264823352065832, -12.000236604754264, 32.17388744963068]]","[[-1940.1801661469126, 1736.4633874754186, -1374.1462958478855, 929.869900587014, -489.5716838337812, 125.45022971257549, 120.36012365548231, -241.03025079962754], [653.5302309833091, -589.4014128786084, 471.3363909425793, -317.99891848967786, 153.26318925626902, -1.8586673559516385, -115.30851995027501, 185.13304310516605], [124.9655340600666, -110.60927020370423, 88.87577643141731, -70.45890465095795, 64.73838514894578, -75.2757275443912, 97.84842935448614, -121.85700259243572], [83.43504932225233, -74.24125491023938, 57.26239271765235, -34.89377593506424, 9.921261260783467, 14.922746686028404, -37.07273735363424, 54.00740351659897], [-366.1671567574772, 332.58407971049564, -272.50753627955487, 197.94728798323467, -122.31244335196448, 56.82629294793469, -8.095654375933918, -22.495336232451336], [312.4996988257076, -287.38925119258374, 240.50481842907948, -178.08055464268364, 108.35815623174994, -40.28953179796008, -17.987628704267536, 60.573104076248455], [-189.7058413260254, 177.60628395357435, -152.93635325484638, 115.597093166788, -67.10125712876743, 11.52677759854123, 44.4178810200292, -92.45041970022771], [200.40857419006534, -185.92697997469213, 158.14654917326152, -119.40807091147349, 73.1499519536319, -23.778564927138177, -23.592526616345367, 63.60481423842202]]"
