s66_number,name,magmoms,interaction energies s66x8,dimer atoms,description
21,AcNH2AcNH2,,"[-0.6474, -0.6951, -0.7051, -0.6912, -0.6617, -0.5386, -0.3469, -0.1301]","[9, 9]",2 h-bond
23,AcNH2Uracil,,"[-0.7675, -0.8191, -0.8322, -0.8196, -0.7901, -0.6596, -0.4436, -0.2016]","[9, 12]",2 h-bond
20,AcOHAcOH,,"[-0.7567, -0.8148, -0.8278, -0.8118, -0.778, -0.6314, -0.3994, -0.1557]","[8, 8]",2 h-bond
22,AcOHUracil,,"[-0.7762, -0.8322, -0.8452, -0.8304, -0.7983, -0.6565, -0.4276, -0.18]","[8, 12]",2 h-bond
53,BenzeneAcNH2NHpi,,"[-0.1644, -0.1852, -0.1891, -0.1834, -0.1722, -0.1288, -0.0716, -0.0208]","[12, 9]",mixed
63,BenzeneAcOH,,"[-0.1184, -0.1561, -0.1648, -0.1583, -0.1448, -0.0971, -0.0442, -0.0113]","[12, 8]",mixed
52,BenzeneAcOHOHpi,,"[-0.1722, -0.1986, -0.2038, -0.1973, -0.1843, -0.1357, -0.0737, -0.0239]","[12, 8]",mixed T-shape
47,BenzeneBenzeneTS,,"[-0.0711, -0.1119, -0.1245, -0.1223, -0.1127, -0.0768, -0.036, -0.0095]","[12, 12]",mixed T-shape
24,BenzeneBenzenepipi,,"[-0.01, -0.0898, -0.1188, -0.1214, -0.1119, -0.0668, -0.0212, -0.0026]","[12, 12]",dispersion pi-pi
39,BenzeneCyclopentane,,"[-0.0937, -0.1405, -0.1548, -0.1505, -0.1375, -0.0898, -0.039, -0.0082]","[12, 15]",dispersion pi-aliphatic
30,BenzeneEthene,,"[-0.0113, -0.049, -0.0611, -0.0607, -0.0546, -0.0299, -0.0074, 0.0004]","[12, 6]",dispersion pi-pi
50,BenzeneEthyneCHpi,,"[-0.0811, -0.1149, -0.124, -0.121, -0.1119, -0.0776, -0.0386, -0.0117]","[12, 4]",mixed
56,BenzeneMeNH2NHpi,,"[-0.1088, -0.134, -0.1401, -0.1353, -0.124, -0.0846, -0.0408, -0.0113]","[12, 7]",mixed
55,BenzeneMeOHOHpi,,"[-0.1496, -0.1756, -0.1817, -0.1765, -0.1648, -0.1214, -0.0663, -0.0225]","[12, 6]",mixed
40,BenzeneNeopentane,,"[-0.0807, -0.1162, -0.1253, -0.1214, -0.1114, -0.0737, -0.0334, -0.0082]","[12, 17]",dispersion pi-aliphatic
57,BenzenePeptideNHpi,,"[-0.1626, -0.2151, -0.229, -0.2229, -0.2073, -0.1479, -0.0781, -0.0269]","[12, 12]",mixed
49,BenzenePyridineTS,,"[-0.0906, -0.1318, -0.144, -0.1414, -0.131, -0.0911, -0.0455, -0.0143]","[12, 11]",mixed T-shape
27,BenzenePyridinepipi,,"[-0.0317, -0.1166, -0.1461, -0.1474, -0.1357, -0.0854, -0.0312, -0.0065]","[12, 11]",dispersion pi-pi
