name,struct,ce,bm,lat,mag
AgBr,rocksalt,2.58,,5.78,
AgCl,rocksalt,2.75,,5.56,
AgF,rocksalt,2.95,,4.92,
Ag,fcc,2.971812617,109,4.063,
AlAs,zincblende,3.82,74,5.649,
AlN,zincblende,5.85,,4.368,
AlP,zincblende,4.32,74.4,5.45,
Al,fcc,3.431492446,79.4,4.019,
Au,fcc,3.825995919,180,4.061,
BAs,zincblende,,,4.764,
BN,zincblende,6.76,372.3,3.594,
BP,zincblende,5.14,152,4.527,
BaO,rocksalt,5.1,,5.52,
BaSe,rocksalt,4.03,,6.6,
Ba,bcc,1.910663946,9.3,5.004,
Be,hcp,3.32,,2.286,
C,diamond,7.586187275,443,3.555,
CaO,rocksalt,5.57,115,4.781,
CaS,rocksalt,4.81,,5.7,
CaSe,rocksalt,4.01,,5.8,
Ca,fcc,1.862297342,18.36,5.555,
CdO,rocksalt,3.21,,4.7,
Cd,hcp,1.16,,2.979,
CoAl,cesiumchloride,4.35,162,2.854,
CoC,rocksalt,5.69,,4.05,
CoN,rocksalt,4.53,,4.1,
Co,hcp,4.39,,2.507,1.72
CrC,rocksalt,5.8,,4.12,0.6
CrN,rocksalt,5.14,,4.15,1.3
CsF,rocksalt,3.66,,6.02,
CsI,cesiumchloride,2.75,,4.42,
Cu,fcc,3.523252123,142,3.595,
FeAl,cesiumchloride,4.23,136.1,2.881,0.35
FeC,rocksalt,5.67,,4.09,
FeN,rocksalt,4.59,,4.13,1.3
Fe,bcc,4.325564134,168.3,2.855,2.22
GaAs,zincblende,3.34,75.6,5.641,
GaN,zincblende,4.55,195,4.523,
GaP,zincblende,3.61,87.4,5.441,
Ge,diamond,3.886257417,75.8,5.644,
InAs,zincblende,3.08,58,6.048,
InP,zincblende,3.47,71,5.858,
IrC,rocksalt,6.84,,4.129,
IrN,rocksalt,5.13,,4.074,
Ir,fcc,6.980716886,355,3.832,
KBr,rocksalt,3.08,,6.6,
K,bcc,0.942821992,3.7,5.211,
LaC,rocksalt,5.74,,5.429,
LaN,rocksalt,6.27,,5.305,
LiCl,rocksalt,3.59,35.4,5.072,
LiF,rocksalt,4.46,69.8,3.974,
LiH,rocksalt,2.49,,3.979,
LiI,rocksalt,2.78,,6,
Li,bcc,1.663349068,13,3.451,
MgO,rocksalt,5.2,165,4.188,
MgS,rocksalt,4.07,80,5.188,
Mg,hcp,1.51,,3.209,
MnC,rocksalt,5.14,,4.12,1.2
MnN,rocksalt,4.08,,4.2,1.6
MnO,rocksalt,4.75,,4.44,2.4
MnS,rocksalt,4.01,,5.22,2.4
MoC,rocksalt,7.22,,4.278,
MoN,rocksalt,6.2,,4.214,
Mo,bcc,6.863625235,272.5,3.141,
NaCl,rocksalt,3.34,26.6,5.565,
NaF,rocksalt,3.97,51.4,4.57,
Na,bcc,1.128317305,7.5,4.207,
NbC,rocksalt,8.26,300,4.461,
NbN,rocksalt,7.5,287,4.383,
Nb,bcc,7.596659866,170.2,3.293,
NiAl,cesiumchloride,4.46,166,2.881,
NiC,rocksalt,5.65,,3.99,
NiN,rocksalt,4.48,,4.1,
Ni,fcc,4.483625235,188,3.509,0.64
OsC,rocksalt,7.36,,4.176,
OsN,rocksalt,5.61,,4.058,
Os,hcp,8.17,,2.734,
PdC,rocksalt,5.36,,4.221,
PdN,rocksalt,4.03,,4.145,
Pd,fcc,3.916562921,195,3.876,
PtC,rocksalt,6.34,,4.206,
PtN,rocksalt,4.63,,4.137,
Pt,fcc,5.863266792,278.3,3.913,
RbI,rocksalt,2.71,,7,
Rb,bcc,0.857428918,3.1,5.58,
RhC,rocksalt,6.23,,4.145,
RhN,rocksalt,4.78,,4.082,
Rh,fcc,5.796533584,269,3.793,
RuC,rocksalt,6.73,,4.129,
RuN,rocksalt,5.02,,4.058,
Ru,hcp,6.74,,2.706,
ScC,rocksalt,6.37,,4.72,
ScN,rocksalt,6.72,,4.51,
Sc,hcp,3.9,,3.309,
SeAs,rocksalt,2.46,,5.48,
SiC,zincblende,6.48,225,4.348,
Si,diamond,4.692529503,99.2,5.422,
Sn,diamond,3.159388993,53.1,6.476,
Sr,fcc,1.73425091,12.36,6.042,
TaC,rocksalt,8.56,,4.457,
TaN,rocksalt,7.63,,4.34,
Ta,bcc,8.123266792,194,3.299,
TiC,rocksalt,7.16,233,4.318,
TiN,rocksalt,6.69,277,4.226,
Ti,hcp,4.85,,2.951,
VC,rocksalt,6.94,,4.148,
VN,rocksalt,6.25,,4.13,
V,bcc,5.346839087,,3.024,
WC,rocksalt,8.25,,4.266,
WN,rocksalt,7.01,,4.202,
W,bcc,8.938777987,314,3.161,
Zn,hcp,1.35,,2.665,
ZrC,rocksalt,7.93,207,4.687,
ZrN,rocksalt,7.52,240,4.576,
Zr,hcp,6.25,,3.232,
