NbC,B1,4.462,,,
Material,Structure,"ZPAE corrected lattice, A",,,
LiCl,B1,5.072,,,
NaF,B1,4.576,,,
NaCl,B1,5.565,,,
MgO,B1,4.186,,,
MgS,B1,5.182,,,
CaO,B1,4.787,,,
TiC,B1,4.317,,,
TiN,B1,4.228,,,
ZrC,B1,4.688,,,
ZrN,B1,4.574,,,
HfC,B1,4.627,,,
HfN,B1,4.512,,,
VC,B1,4.148,,,
VN,B1,4.126,,,
LiF,B1,3.96,,,
NbN,B1,4.383,,,
FeAl,B2,2.882,,,
CoAl,B2,2.855,,,
NiAl,B2,2.882,,,
BN,B3,3.585,,,
BP,B3,4.52,,,
BAs,B3,4.76,,,
AlP,B3,"5,445",,,
AlAs,B3,5.646,,,
GaN,B3,4.52,,,
GaP,B3,5.435,,,
GaAs,B3,5.637,,,
InP,B3,5.856,,,
InAs,B3,6.044,,,
SiC,B3,4.34,,,
