Dataset,System,mCAML prediction (eV or GPa or Å resp.),difference to target (eV or GPa or Å resp.)
CHEMI26,C2H4+Pt(111) → CCH3/Pt(111)+H/Pt(111),-1.59,-0.23
CHEMI26,CH2I2+Pt(111) → CH/Pt(111)+H/Pt(111)+2I/Pt(111),-4.63,0.09
CHEMI26,CH3I+Pt(111) → CH3/Pt(111)+I/Pt(111),-1.75,0.42
CHEMI26,CO+Co(001) → CO/Co(001),-1.59,-0.36
CHEMI26,CO+Cu(111) → CO/Cu(111),-0.71,-0.12
CHEMI26,CO+Ir(111) → CO/Ir(111),-1.79,-0.09
CHEMI26,CO+Ni(111) → CO/Ni(111),-1.64,-0.35
CHEMI26,CO+Pd(100) → CO/Pd(100),-1.76,-0.13
CHEMI26,CO+Pd(111) → CO/Pd(111),-1.85,-0.36
CHEMI26,CO+Pt(111) → CO/Pt(111),-1.54,-0.25
CHEMI26,CO+Rh(111) → CO/Rh(111),-1.77,-0.3
CHEMI26,CO+Ru(001) → CO/Ru(001),-1.76,-0.09
CHEMI26,H2+Ni(100) → 2H/Ni(100),-1.09,-0.19
CHEMI26,H2+Ni(111) → 2H/Ni(111),-1.31,-0.27
CHEMI26,H2+Pd(111) → 2H/Pd(111),-1.08,-0.15
CHEMI26,H2+Pt(111) → 2H/Pt(111),-0.83,-0.08
CHEMI26,H2+Rh(111) → 2H/Rh(111),-0.94,-0.19
CHEMI26,I2+Pt(111) → 2I/Pt(111),-3.29,-0.05
CHEMI26,NO+Ni(100) → N/Ni(100)+O/Ni(100),-3.65,-0.55
CHEMI26,NO+Pd(100) → NO/Pd(100),-1.87,-0.18
CHEMI26,NO+Pd(111) → NO/Pd(111),-2.06,-0.17
CHEMI26,NO+Pt(111) → NO/Pt(111),-1.56,-0.33
CHEMI26,O2+Ni(100) → 2O/Ni(100),-5.4,0.09
CHEMI26,O2+Ni(111) → 2O/Ni(111),-5.04,-0.01
CHEMI26,O2+Pt(111) → 2O/Pt(111),-2.27,-0.11
CHEMI26,O2+Rh(100) → 2O/Rh(100),-4.22,-0.54
DISP15,C2H6+Pt(111) → C2H6/Pt(111),-0.14,0.14
DISP15,C3H8+Pt(111) → C3H8/Pt(111),-0.2,0.2
DISP15,C4H10+Pt(111) → C4H10/Pt(111),-0.28,0.22
DISP15,C6H6+Ag(111) → C6H6/Ag(111),-0.87,-0.24
DISP15,C6H6+Au(111) → C6H6/Au(111),-1.02,-0.29
DISP15,C6H6+Cu(111) → C6H6/Cu(111),-0.42,0.26
DISP15,C6H6+Pt(111) → C6H6/Pt(111),-1.56,0.12
DISP15,C6H10+Pt(111) → C6H10/Pt(111),-1.12,0.15
DISP15,C10H8+Pt(111) → C10H8/Pt(111),-2.91,-0.15
DISP15,CH3I+Pt(111) → CH3I/Pt(111),-0.83,0.04
DISP15,CH3OH+Pt(111) → CH3OH/Pt(111),-0.35,0.22
DISP15,CH4+Pt(111) → CH4/Pt(111),-0.09,0.06
DISP15,D2O+1/3[O/Pt(111)] → 2/3[(D2O..OD)/Pt(111)],-0.81,-0.13
DISP15,D2O+Pt(111) → D2O/Pt(111),-0.39,0.18
DISP15,NH3+Cu(100) → NH3/Cu(100),-0.56,0.06
CE57,Ag_fcc,3.23,0.28
CE57,Al_fcc,3.36,-0.04
CE57,AlAs_zincblende,3.83,0.01
CE57,AlN _zincblende,5.7,-0.15
CE57,AlP _zincblende,4.12,-0.2
CE57,Au_fcc,3.95,0.16
CE57,Ba_bcc,1.98,0.11
CE57,BN_zincblende,6.98,0.22
CE57,BP _zincblende,5.38,0.24
CE57,C_diamond,7.29,-0.08
CE57,Ca_fcc,1.72,-0.12
CE57,CaO_rocksalt,5.31,-0.16
CE57,Cu_fcc,4.23,0.75
CE57,Fe_bcc,4.74,0.45
CE57,GaAs_zincblende,3.39,0.05
CE57,GaN_zincblende,4.47,-0.08
CE57,GaP_zincblende,3.58,-0.03
CE57,Ge_diamond,3.91,0.08
CE57,InAs_zincblende,3.09,0.01
CE57,InP_zincblende,3.19,-0.28
CE57,Ir_fcc,8.05,1.16
CE57,K_bcc,0.89,-0.04
CE57,Li_bcc,1.46,-0.17
CE57,LiCl_rocksalt,3.29,-0.3
CE57,LiF_rocksalt,4.11,-0.35
CE57,LiH_rocksalt,2.36,-0.13
CE57,MgO_rocksalt,5,-0.2
CE57,MgS_rocksalt,3.74,-0.23
CE57,Mo_bcc,6.6,-0.2
CE57,Na_bcc,1.11,-0.01
CE57,NaCl_rocksalt,3.15,-0.19
CE57,NaF_rocksalt,3.76,-0.21
CE57,Nb_bcc,7.13,-0.36
CE57,NbC_rocksalt,7.73,-0.53
CE57,NbN_rocksalt,6.92,-0.58
CE57,Ni_fcc,4.72,0.29
CE57,Pb_fcc,3.43,1.4
CE57,Pd_fcc,4.61,0.7
CE57,Pt_fcc,6.49,0.64
CE57,Rb_bcc,0.81,-0.04
CE57,Rh_fcc,5.9,0.14
CE57,Si_diamond,4.49,-0.13
CE57,SiC_zincblende,6.23,-0.25
CE57,Sn_diamond,3.51,0.39
CE57,Sr_fcc,1.73,0.03
CE57,Ta_bcc,8.89,0.79
CE57,TiC_rocksalt,6.94,-0.22
CE57,TiN_rocksalt,6.64,-0.05
CE57,V_bcc,5.13,-0.17
CE57,VC_rocksalt,6.68,-0.26
CE57,VN_rocksalt,6.06,-0.19
CE57,W_bcc,9.62,0.83
CE57,ZrC_rocksalt,7.61,-0.32
CE57,ZrN_rocksalt,7.33,-0.19
BM32,Ag_fcc,112.3,-0.3
BM32,Al_fcc,82.6,1.6
BM32,AlAs_zincblende,80.9,1.6
BM32,AlN_zincblende,208.1,2.1
BM32,AlP_zincblende,91.4,4.4
BM32,Ba_bcc,4.3,-5.1
BM32,BAs_zincblende,146.9,-4.1
BM32,BN_zincblende,374.9,-13.6
BM32,BP_zincblende,187.1,10.6
