Material,Property,Value,Unit,Corrected,Source,Notes
AgBr,lattice,5.768,A,FALSE,https://www.ucl.ac.uk/~ucapahh/research/crystal/agbr.htm,Multiplied by 2
AgCl,lattice,5.55,A,FALSE,https://www.ucl.ac.uk/~ucapahh/research/crystal/agcl.htm,Multiplied by 2
AgF,lattice,4.935,A,FALSE,https://www.ucl.ac.uk/~ucapahh/research/crystal/agf.htm,Multiplied by 2
BaO,lattice,5.52,A,FALSE,https://www.ucl.ac.uk/~ucapahh/research/crystal/bao.htm,Multiplied by 2
CsF,lattice,6,A,FALSE,https://www.ucl.ac.uk/~ucapahh/research/crystal/csf.htm,Multiplied by 2
LiI,lattice,5.902,A,TRUE,https://www.ucl.ac.uk/~ucapahh/research/crystal/lii.htm,Multiplied by 2
MnO,lattice,4.4,A,FALSE,https://www.ucl.ac.uk/~ucapahh/research/crystal/mno.htm,Multiplied by 2
RbI,lattice,7.256,A,TRUE,https://www.ucl.ac.uk/~ucapahh/research/crystal/rbi.htm,Multiplied by 2
SeAs,lattice,5.48,A,FALSE,keld data_solids_wPBE.py,
SeAs,cohesive,2.46,eV,FALSE,keld data_solids_wPBE.py,
RbI,lattice,7,A,FALSE,keld data_solids_wPBE.py,
RbI ,cohesive,2.71,eV,FALSE,keld data_solids_wPBE.py,
BaSe,lattice,6.6,A,FALSE,keld data_solids_wPBE.py,
BaSe,cohesive,4.03,eV,FALSE,keld data_solids_wPBE.py,
CdO,lattice,4.7,A,FALSE,keld data_solids_wPBE.py,
CdO,cohesive,3.21,eV,FALSE,keld data_solids_wPBE.py,
CoN,lattice,4.1,A,FALSE,keld data_solids_wPBE.py,
CoN,cohesive,4.53,eV,FALSE,keld data_solids_wPBE.py,
CrC,lattice,4.12,A,FALSE,keld data_solids_wPBE.py,
CrC,cohesive,5.8,eV,FALSE,keld data_solids_wPBE.py,
CrC,magmom,0.6,bohr,FALSE,keld data_solids_wPBE.py,
FeC,lattice,4.09,A,FALSE,keld data_solids_wPBE.py,
FeC,cohesive,5.67,eV,FALSE,keld data_solids_wPBE.py,
MnC,lattice,4.12,A,FALSE,keld data_solids_wPBE.py,
MnC,cohesive,5.14,eV,FALSE,keld data_solids_wPBE.py,
MnC,magmom,1.2,bohr,FALSE,keld data_solids_wPBE.py,
MnN,lattice,4.2,A,FALSE,keld data_solids_wPBE.py,
MnN,cohesive,4.08,eV,FALSE,keld data_solids_wPBE.py,
MnN,magmom,1.6,bohr,FALSE,keld data_solids_wPBE.py,
MnS,lattice,5.22,A,FALSE,keld data_solids_wPBE.py,
MnS,cohesive,4.01,eV,FALSE,keld data_solids_wPBE.py,
MnS,magmom,2.4,bohr,FALSE,keld data_solids_wPBE.py,
ScC,lattice,4.72,A,FALSE,keld data_solids_wPBE.py,
ScC,cohesive,6.37,eV,FALSE,keld data_solids_wPBE.py,
CoC,lattice,4.05,A,FALSE,keld data_solids_wPBE.py,
CoC,cohesive,5.69,eV,FALSE,keld data_solids_wPBE.py,
NiC,lattice,3.99,A,FALSE,keld data_solids_wPBE.py,
NiC,cohesive,5.65,eV,FALSE,keld data_solids_wPBE.py,
ScN,lattice,4.51,A,FALSE,keld data_solids_wPBE.py,
ScN,cohesive,6.72,eV,FALSE,keld data_solids_wPBE.py,
CrN,lattice,4.15,A,FALSE,keld data_solids_wPBE.py,
CrN,cohesive,5.14,eV,FALSE,keld data_solids_wPBE.py,
CrN,magmom,1.3,bohr,FALSE,keld data_solids_wPBE.py,
PdC,lattice,4.221,A,FALSE,keld data_solids_wPBE.py,
PdC,cohesive,5.36,eV,FALSE,keld data_solids_wPBE.py,
RuC,lattice,4.129,A,FALSE,keld data_solids_wPBE.py,
RuC,cohesive,6.73,eV,FALSE,keld data_solids_wPBE.py,
RhC,lattice,4.145,A,FALSE,keld data_solids_wPBE.py,
RhC,cohesive,6.23,eV,FALSE,keld data_solids_wPBE.py,
CaS,lattice,5.7,A,FALSE,keld data_solids_wPBE.py,
CaS,cohesive,4.81,eV,FALSE,keld data_solids_wPBE.py,
CaSe,lattice,5.8,A,FALSE,keld data_solids_wPBE.py,
CaSe,cohesive,4.01,eV,FALSE,keld data_solids_wPBE.py,
CsI,lattice,4.42,A,FALSE,keld data_solids_wPBE.py,
CsI,cohesive,2.75,eV,FALSE,keld data_solids_wPBE.py,
FeN,lattice,4.13,A,FALSE,keld data_solids_wPBE.py,
FeN,cohesive,4.59,eV,FALSE,keld data_solids_wPBE.py,
KBr,lattice,6.6,A,FALSE,keld data_solids_wPBE.py,
KBr,cohesive,3.08,eV,FALSE,keld data_solids_wPBE.py,
MoC,lattice,4.278,A,FALSE,keld data_solids_wPBE.py,
MoC,cohesive,7.22,eV,FALSE,keld data_solids_wPBE.py,
MoN,lattice,4.214,A,FALSE,keld data_solids_wPBE.py,
MoN,cohesive,6.2,eV,FALSE,keld data_solids_wPBE.py,
NiN,lattice,4.1,A,FALSE,keld data_solids_wPBE.py,
NiN,cohesive,4.48,eV,FALSE,keld data_solids_wPBE.py,
PdN,lattice,4.145,A,FALSE,keld data_solids_wPBE.py,
PdN,cohesive,4.03,eV,FALSE,keld data_solids_wPBE.py,
RhN,lattice,4.082,A,FALSE,keld data_solids_wPBE.py,
RhN,cohesive,4.78,eV,FALSE,keld data_solids_wPBE.py,
RuN,lattice,4.058,A,FALSE,keld data_solids_wPBE.py,
RuN,cohesive,5.02,eV,FALSE,keld data_solids_wPBE.py,
FeN,magmom,1.3,bohr,FALSE,keld data_solids_wPBE.py,
