Material,"Lattice, A","Bulk modulus, GPa","Cohesive energy, eV/atom"
C,3.553,454.7,7.55
Si,5.412,101.3,4.68
Ge,5.641,79.4,3.89
Sn,6.477,42.8,3.16
SiC,4.346,229.1,6.48
BN,3.592,410.2,6.76
BP,4.525,168,5.14
AlN,4.368,206,5.85
AlP,5.451,87.4,4.32
AlAs,5.649,75,3.82
GaN,4.509,213.7,4.55
GaP,5.439,89.6,3.61
GaAs,5.64,76.7,3.34
InP,5.858,72,3.47
InAs,6.047,58.6,3.08
InSb,6.473,46.1,2.81
LiH,3.979,40.1,2.49
LiF,3.972,76.3,4.46
LiCl,5.07,38.7,3.59
NaF,4.582,53.1,3.97
NaCl,5.569,27.6,3.34
MgO,4.189,169.8,5.2
Li,3.443,13.1,1.67
Na,4.205,7.9,1.12
Al,4.022,77.1,3.43
K,5.246,3.8,0.94
Ca,5.559,15.9,1.87
Rb,5.629,3.6,0.86
Sr,6.059,12,1.73
Cs,6.043,2.3,0.81
Ba,4.994,10.6,1.91
V,3.023,165.8,5.35
Ni,3.51,192.5,4.48
Cu,3.599,144.3,3.51
Nb,3.3,173.2,7.6
Mo,3.142,276.2,6.86
Rh,3.786,277.1,5.78
Pd,3.876,187.2,3.93
Ag,4.07,105.7,2.96
Ta,3.298,202.7,8.13
W,3.162,327.5,8.94
Ir,3.831,362.2,6.99
Pt,3.917,285.5,5.87
Au,4.067,182,3.83
