Mat,LC PBE uncorr,LC PBE corr,LC PBEsol corr,LC SCAN corr,LC expt,BM PBE uncorrected,BM PBE corr,BM PBEsol corr,BM SCAN corr,BM expt,CE PBE uncorr,CE PBE corr,CE PBEsol Corr,CE SCAN corr,CE expt
Ag,4.149,4.155,4.058,4.088,4.069,91,89.3,116.9,108.3,110.9,-2.54,-2.52,-3.09,-2.87,-2.95
Al,4.041,4.054,4.028,4.028,4.032,77.6,76,80.8,78.7,79.4,-3.47,-3.44,-3.81,-3.62,-3.39
AlAs,5.73,5.735,5.68,5.68,5.652,66.9,65.7,71.9,76.3,78.1,-3.71,-3.67,-4.03,-3.83,-3.78
AlP,5.508,5.518,5.48,5.484,5.458,82.4,81.4,84.6,87.4,86,-4.11,-4.06,-4.4,-4.2,-4.26
AlSb,6.224,6.231,6.159,6.172,6.128,49.2,49,55,56.7,59.3,-3.27,-3.23,-3.58,-3.37,-3.3
Au,4.157,4.161,4.084,4.098,4.065,139.7,137.7,174.2,166.1,180.9,-3.09,-3.07,-3.77,-3.58,-3.81
Ba,5.011,5.015,4.872,5.039,5.007,8.8,8.8,8,8.8,9.3,-1.88,-1.87,-2.11,-2.04,-1.9
BAs,4.81,4.822,4.779,4.783,4.777,131.7,128.7,138.4,143.1,148,-4.71,-4.63,-5.01,-4.6,-4.7
BN,3.626,3.64,3.621,3.618,3.607,374.1,363.6,373.8,379.6,378,-7.01,-6.85,-7.25,-6.68,-6.6
BP,4.549,4.562,4.533,4.54,4.538,162,158.5,165.9,168.9,173,-5.36,-5.26,-5.64,-5.21,-5.04
C,3.572,3.586,3.568,3.564,3.567,434.3,424,435.2,445,443,-7.73,-7.55,-8.1,-7.36,-7.37
Ca,5.527,5.538,5.466,5.559,5.565,17.4,17.1,17.6,18.2,18.4,-1.93,-1.91,-2.1,-2.08,-1.84
CdS,5.929,5.939,5.833,5.869,5.818,53.5,52.8,59.8,60.1,64.3,-2.57,-2.53,-2.89,-2.72,-2.78
CdSe,6.197,6.203,6.085,6.119,6.05,44.8,44.3,52.4,52.1,55,-2.32,-2.3,-2.66,-2.47,-2.46
