solid_data,structure,pbe_lp,magmom,lattice parameter,lattice parameter 2,debye temperature,cohesive energy,bulk modulus,Ecoh is phonon-corrected,Ecoh unit
Ag,fcc,4.15,,4.063,,225.0,68.0,110.8,False,kcal/mol
AlAs,zincblende,5.728,,5.649,,,369.0,75.0,True,kJ/mol
AlN,zincblende,4.402,,4.368,,,564.0,206.0,True,kJ/mol
AlP,zincblende,5.504,,5.45,,,417.0,87.4,True,kJ/mol
Al,fcc,4.037,,4.019,,428.0,78.3,82.0,False,kcal/mol
Au,fcc,4.147,,4.061,,165.0,87.46,,False,kcal/mol
BAs,zincblende,4.809,,4.764,,,,151.1,,
BN,zincblende,3.624,,3.594,,,652.0,410.2,True,kJ/mol
BP,zincblende,4.548,,4.527,,,496.0,168.0,True,kJ/mol
Ba,bcc,5.022,,5.004,,110.0,43.2,9.4,False,kcal/mol
Be,hcp,,,2.286,3.585,,3.32,,,
C,diamond,3.571,,3.555,,2230.0,170.0,454.7,False,kcal/mol
CaO,rocksalt,4.832,,4.781,,648.0,126.16,,False,kcal/mol
Ca,fcc,5.521,,5.555,,230.0,42.39,18.7,False,kcal/mol
Cd,hcp,,,2.979,5.62,,1.16,,,
CoAl,cesiumchloride,2.851,,2.854,,,,,,
Co,hcp,,1.72,2.507,4.069,,4.39,,,
Cu,fcc,3.63,,3.595,,343.0,80.36,145.0,False,kcal/mol
FeAl,cesiumchloride,2.868,0.35,2.881,,,,,,
Fe,bcc,2.834,2.22,2.855,,470.0,98.94,,False,kcal/mol
GaAs,zincblende,5.751,,5.641,,,322.0,76.7,True,kJ/mol
GaN,zincblende,4.549,,4.523,,,439.0,213.7,True,kJ/mol
GaP,zincblende,5.506,,5.441,,,348.0,89.6,True,kJ/mol
Ge,diamond,5.764,,5.644,,374.0,88.25,77.3,False,kcal/mol
InAs,zincblende,6.188,,6.048,,,297.0,58.6,True,kJ/mol
InP,zincblende,5.963,,5.858,,,335.0,72.0,True,kJ/mol
Ir,fcc,3.872,,3.832,,420.0,158.78,,False,kcal/mol
K,bcc,5.281,,5.211,,91.0,21.48,,False,kcal/mol
LiCl,rocksalt,5.147,,5.072,,,346.0,38.7,True,kJ/mol
LiF,rocksalt,4.064,,3.974,,,430.0,76.3,True,kJ/mol
LiH,rocksalt,4.006,,3.979,,,240.0,40.1,True,kJ/mol
Li,bcc,3.429,,3.451,,344.0,37.7,13.9,False,kcal/mol
MgO,rocksalt,4.255,,4.188,,,502.0,169.8,True,kJ/mol
MgS,rocksalt,5.228,,5.188,,650.0,91.52,,False,kcal/mol
Mg,hcp,,,3.209,5.211,,1.51,,,
Mo,bcc,3.161,,3.141,,450.0,156.92,,False,kcal/mol
NaCl,rocksalt,5.695,,5.565,,,322.0,27.6,True,kJ/mol
NaF,rocksalt,4.7,,4.57,,,383.0,53.1,True,kJ/mol
Na,bcc,4.197,,4.207,,158.0,25.76,7.7,False,kcal/mol
NbC,rocksalt,4.484,,4.461,,,796.8,,True,kJ/mol
NbN,rocksalt,4.422,,4.383,,,723.3,,True,kJ/mol
Nb,bcc,3.31,,3.293,,275.0,172.758,,False,kcal/mol
NiAl,cesiumchloride,2.892,,2.881,,,,,,
Ni,fcc,3.517,0.64,3.509,,450.0,102.213,,False,kcal/mol
Os,hcp,,,2.734,4.392,,8.17,,,
Pb,fcc,5.04,,4.912,,105.0,46.81,,False,kcal/mol
Pd,fcc,3.932,,3.876,,274.0,90.2,198.1,False,kcal/mol
Pt,fcc,3.971,,3.913,,240.0,134.9,,False,kcal/mol
Rb,bcc,5.665,,5.58,,56.0,19.64,,False,kcal/mol
Rh,fcc,3.827,,3.793,,480.0,132.79,272.1,False,kcal/mol
Ru,hcp,,,2.706,4.282,,6.74,,,
Sc,hcp,,,3.309,5.268,,3.9,,,
SiC,zincblende,4.378,,4.348,,,625.0,229.1,True,kJ/mol
Si,diamond,5.468,,5.422,,645.0,106.52,100.8,False,kcal/mol
Sn,diamond,6.659,,6.476,,200.0,72.01,55.5,False,kcal/mol
Sr,fcc,6.013,,6.042,,147.0,39.3,12.5,False,kcal/mol
Ta,bcc,3.347,,3.299,,240.0,186.765,,False,kcal/mol
TiC,rocksalt,4.332,,4.318,,,690.5,,True,kJ/mol
TiN,rocksalt,4.247,,4.226,,,645.9,,True,kJ/mol
Ti,hcp,,,2.951,4.684,,4.85,,,
VC,rocksalt,4.154,,4.148,,,669.5,,True,kJ/mol
VN,rocksalt,4.116,,4.13,,,602.6,,True,kJ/mol
V,bcc,2.997,,3.024,,380.0,122.12,,False,kcal/mol
W,bcc,3.17,,3.161,,400.0,202.7,,False,kcal/mol
Zn,hcp,,,2.665,4.947,,1.35,,,
ZrC,rocksalt,4.708,,4.687,,,765.3,,True,kJ/mol
ZrN,rocksalt,4.594,,4.576,,,726.0,,True,kJ/mol
Zr,hcp,,,3.232,5.148,,6.25,,,
