name,y_ref,y_0,exch,corr
Li_bcc,1.6681764045276282,-0.1768785458831701,"[1.2856968610773993, -2.0024673813404794, 2.4422744952494497, -2.6776515415099995, 3.028894908216143, -3.312035460786302, 3.383673077379216, -3.320304518831841, 3.289719715570322, -3.35335222755246]","[0.57531097936475, 0.7595285945237851, 0.28515237514639996]"
Al_fcc,3.436902888359143,-2.131812551695077,"[5.047785973871797, -7.711228703255202, 11.011439091548699, -13.488155453924602, 14.820607991942069, -15.18245842883567, 14.909843896066329, -14.279977737479083, 13.428561796195932, -12.372786168984804]","[0.7392870414735198, 1.68595895814315, 0.6011622383204]"
Na_bcc,1.1323769961742942,-0.05644831628968916,"[0.7523331313936978, -1.4604822956096974, 1.7930178062488018, -2.057286126448002, 2.7484590657762986, -3.2628055323915497, 3.01837045936686, -2.37785429882202, 2.12893103928763, -2.40044279889572]","[0.4566090318064795, 0.6625385948063598, 0.2936217904476]"
C_diamond,7.588088152221893,-0.7788895559213316,"[7.857612106403302, -10.822978936019052, 13.931146079428352, -15.260243396329251, 14.6312259932158, -12.617149988192999, 10.00526022711869, -7.457189527538111, 5.406447226791181, -4.01866715548842]","[1.2251204880141602, 2.0439919444157604, 0.2701392512946]"
Pd_fcc,3.9380062318540268,5.378937933855241,"[-0.5782295838059781, -4.356504196091009, 9.709127320463978, -11.428374102639992, 8.46260734693601, -2.2812792988899986, -4.400679300612097, 9.023715704704003, -10.173412100953499, 7.9183291553245]","[0.26626627716029816, 1.6297011607308995, 1.174773477902]"
Cu_fcc,3.5179925894477164,2.287990266065947,"[1.6136399278800013, -5.552885094007991, 9.651143410695, -10.76992084407901, 8.457654801555691, -4.269973496296203, 0.38137526955129886, 1.7357956880012964, -1.9089589489821037, 0.9901808463140043]","[0.5609860465080985, 1.6188539281681997, 1.001552230384]"
Au_fcc,3.808621488537434,0.4638565535314285,"[3.1914038144510073, -7.971447211238001, 13.028982201633994, -14.614104834350996, 11.883687343193998, -6.109930114815398, -0.42192976800040327, 5.526740796044798, -7.861285467857904, 7.229839590518502]","[0.554597509194501, 1.8777489002300012, 1.1968752345168001]"
Ag_fcc,2.970572553000486,0.7237118489390753,"[2.268189625801, -6.196343224879996, 9.98493715992501, -10.406096738133016, 7.1270195919119885, -1.8584580406442086, -2.971766700202693, 5.4843158244405, -5.0787949483923, 2.4923508336424973]","[0.5344822530102, 1.5704632480415022, 1.0404265695364]"
Ir_fcc,6.926071269811268,2.809046018011628,"[4.85842126116799, -11.551637506333009, 19.69703554711799, -24.603933254097996, 24.6112087338243, -20.148628397115594, 12.791317135776694, -4.5080879318268, -2.934763422103501, 8.2608156897588]","[1.2636464800586005, 3.0914878448330985, 1.3275462134496]"
Ta_bcc,8.122165811963018,0.9801857527421873,"[6.686889895669992, -12.05520664339599, 18.826502709706006, -23.0422089025041, 22.844502260425102, -18.67656166630759, 12.713484809753304, -7.5202378094153985, 4.7305835417756015, -4.4576052724513]","[1.390680110635902, 3.0022731901796007, 1.3177098696156]"
Ca_fcc,1.8605023050352507,-2.384052626085804,"[3.8400337415811947, -5.350020173052698, 6.981685739461099, -7.875444612544804, 7.969899168904, -7.488248568683304, 6.7343391800629995, -5.944193028951101, 5.2597120266052, -4.7620299289703]","[0.4649634406653984, 1.0451594447041508, 0.4458403657792]"
Pt_fcc,5.873086006199874,1.860485136531878,"[4.222749865006023, -10.125565604715007, 17.048230582106, -20.6716455439189, 19.522854806371697, -14.292099904755993, 6.9042401348648, 0.45951236888529934, -6.0419052636529, 8.8870064784645]","[0.8798338117162992, 2.499962508505801, 1.3954123679024]"
LiH_b1,2.4874253139131945,0.20116896373288817,"[1.6875458921970647, -2.1729654385431694, 2.1594572932158256, -1.4768864824282297, 0.5366415720681839, 0.34697959136060597, -0.9648405466320185, 1.2312573784405973, -1.142466214129541, 0.7422168515561895]","[0.7254142569000764, 0.7083252260117832, 0.2668419980094]"
Rh_fcc,5.804854665680212,2.69561555697274,"[3.507565030017986, -9.443815853664006, 16.280947183476982, -19.607091162549594, 18.016753882790994, -12.4081818400051, 4.925780904033303, 2.1291878081094, -7.032410480406803, 8.980328880455001]","[1.1558805188305996, 2.6775136172598017, 1.1398429122868]"
BN_b3,6.757505436130845,-0.6019982927443266,"[6.913748162740596, -9.586418088424452, 12.167327058661002, -12.83236322083993, 11.49626002434901, -8.795155134332054, 5.542826223529566, -2.4235778803774357, -0.10629444399059462, 1.8303047848251701]","[1.2744118905144797, 1.93965955378963, 0.300724277216]"
Mo_bcc,6.8483223842534535,5.938371325281963,"[-0.5300551472840027, -4.627707942356011, 9.959544393475, -12.324995104769002, 11.787765018128297, -9.47104513049051, 6.4313733913787985, -3.395843518864204, 1.0060684169057978, 0.2174205878382054]","[2.4338322674155997, 3.6365964211102018, 1.307310129562]"
